id,ticket_text,true_category,predicted_category,reasoning,correct,otel_run_name,otel_prompt_version,validator_comment,failure_category
t058,"While the item operates perfectly well, I received it in a crushed box and there's no manual included.",product_issue,product_issue,"The item arrived in a crushed box and is missing a manual, indicating a product issue.",True,baseline,v1,,
t059,"The item works great, but seriously, the box was smashed and I can't find the instructions anywhere. What gives?",product_issue,product_issue,The item arrived damaged and the customer is missing instructions.,True,baseline,v1,,
t060,I can't log into my account — it keeps saying my password is wrong even after I reset it.,account_help,account_help,The customer is experiencing issues with logging into their account.,True,baseline,v1,,
t061,"I'm really frustrated right now — I can't seem to access my account! Every time I try to log in, it tells me my password is incorrect, even though I just reset it. What is going on?",account_help,account_help,The customer is experiencing issues with logging into their account.,True,baseline,v1,,
t062,"I've been trying to log into my account, but it keeps rejecting my password as wrong, even though I've reset it. Can someone please help me? My patience is wearing thin!",account_help,account_help,The customer is experiencing issues with logging into their account.,True,baseline,v1,,
t063,"I don't know what's going on, but I can't log into my account, and it keeps telling me my password is invalid, even after I reset it. This is getting ridiculous!",account_help,account_help,The customer is experiencing issues with logging into their account and resetting their password.,True,baseline,v1,,
t064,How do I update the credit card on file? I don't see the option anywhere in settings.,account_help,account_help,"The customer is asking about updating their payment method, which falls under account help.",True,baseline,v1,,
t065,I'm really frustrated that I can't find where to update my credit card information. It's not showing up in settings at all! Can someone help me out?,account_help,account_help,"The customer is seeking assistance with updating their credit card information, which relates to account management.",True,baseline,v1,,
t066,"Hello, I'm trying to update the credit card linked to my account, but I can't find any option for that in the settings. Could you please guide me? Thank you!",account_help,account_help,The customer is seeking assistance with updating their payment method.,True,baseline,v1,,
t067,I can't seem to locate where to change my credit card details on your site. Is it hidden somewhere in the settings? This is quite annoying!,account_help,account_help,"The customer is asking for help with changing their credit card details, which relates to account management.",True,baseline,v1,,
t068,The website won't let me check out — it keeps logging me out mid-payment.,account_help,account_help,The issue is related to logging in and payment processing.,True,baseline,v1,,
t069,"I'm really annoyed that I can't complete my order. Every time I try to check out, the site logs me out right when I'm about to pay!",account_help,account_help,The customer is experiencing issues with logging in while trying to complete their order.,True,baseline,v1,,
t070,"Hello, I’m having an issue with your website. It keeps logging me out when I attempt to make a payment, preventing me from checking out. Could you please assist?",account_help,account_help,The customer is experiencing a login issue related to making a payment.,True,baseline,v1,,
t071,"This is ridiculous! I’m trying to buy a pair of shoes (Order #4567) but every time I reach the payment screen, the website signs me out. What’s going on?",account_help,account_help,The customer is experiencing issues with the website that affect their ability to complete a purchase.,True,baseline,v1,,
t072,Please remove my old shipping address. I moved last month and don't want stuff going there.,account_help,account_help,The customer is requesting help with updating their shipping address.,True,baseline,v1,,
t073,"Hi there, I need to have my previous shipping address deleted from my account. I relocated last month, and I don't want any packages sent to that old place. Thanks!",account_help,account_help,The customer is requesting help with updating their account information.,True,baseline,v1,,
t074,"Can you please take off my old shipping address? I just moved recently, and I'm worried about my orders going to the wrong location.",account_help,account_help,The customer is requesting help with updating their shipping address.,True,baseline,v1,,
t075,"Hey, I've changed my address last month, and I really need you to get rid of my old shipping info so my packages don't get sent there. It's a bit urgent, so please handle it!",account_help,account_help,The customer is requesting help with updating their shipping address.,True,baseline,v1,,
t076,I keep getting 2FA codes I didn't request. Is someone trying to access my account?,account_help,account_help,The customer is concerned about unauthorized access to their account and needs help with 2FA.,True,baseline,v1,,
t077,"I'm receiving 2FA codes that I never asked for. Is someone trying to break into my account, or what? This is really concerning!",account_help,account_help,The customer is concerned about unauthorized access to their account and is seeking help with account security.,True,baseline,v1,,
t078,I keep receiving unsolicited 2FA codes. Is there a chance someone is attempting to access my account? I'm quite worried about this situation.,account_help,account_help,The customer is concerned about account security and 2FA codes.,True,baseline,v1,,
t079,Can you explain why I'm getting 2FA codes that I didn't ask for? Is my account being targeted by someone? This is frustrating!,account_help,account_help,The customer is inquiring about 2FA codes related to their account security.,True,baseline,v1,,
t080,Do you guys ship to Canada? Couldn't find it on the FAQ page.,other,other,The ticket is a general question about shipping policies.,True,baseline,v1,,
t081,"Hey, do you even ship to Canada? I looked everywhere on the FAQ page but couldn't find that info.",other,other,The customer is asking a general question about shipping policies.,True,baseline,v1,,
t082,"Excuse me, but can you tell me if you offer shipping to Canada? I checked the FAQ section and found nothing about it.",other,other,The customer is asking a general question about shipping policies.,True,baseline,v1,,
t083,"I'm wondering if you ship to Canada? It's not mentioned anywhere on your FAQ page, which is a bit frustrating.",other,other,The customer is asking a general question about shipping policies.,True,baseline,v1,,
t084,Just wanted to say the customer service rep I spoke to yesterday was amazing. Thank you!,other,other,"The ticket is feedback about customer service, which does not fit into the other categories.",True,baseline,v1,,
t085,I have to give a shout out to the customer service agent I talked to yesterday. They were fantastic! Thanks a ton!,other,other,"The ticket is a general feedback about customer service, not related to any specific issue.",True,baseline,v1,,
t086,Kudos to the customer support representative I chatted with yesterday—absolutely wonderful service. Much appreciated!,other,other,The ticket is a general feedback message and does not fit into any specific support category.,True,baseline,v1,,
t087,"I just had to mention that the support rep I spoke to yesterday was incredible. Great job, thank you!",other,other,"The ticket is feedback about a support interaction, not a request for assistance.",True,baseline,v1,,
t088,Is the red version of SKU-1140 back in stock?,other,other,"The customer is inquiring about product availability, which does not fit into the specified categories.",True,baseline,v1,,
t089,"Hey, any chance the red variant of SKU-1140 is available again? It's been ages since I've checked.",other,other,"The customer is inquiring about product availability, which does not fit into the specified categories.",True,baseline,v1,,
t090,Could you please let me know if the red SKU-1140 is back in stock? I’ve been waiting for it!,other,other,"The customer is inquiring about product availability, which does not fit the specified categories.",True,baseline,v1,,
t091,I'm just wondering if the red color for SKU-1140 is in stock yet. It feels like it's been forever.,other,other,"The customer is inquiring about product availability, which does not fit the specified categories.",True,baseline,v1,,
t092,Do you offer a student discount? Couldn't find one at checkout.,other,other,"The inquiry is about a discount policy, which does not fit into the specified categories.",True,baseline,v1,,
t093,I couldn't locate a student discount during checkout. Is there one available?,other,other,"The inquiry is about a discount and not related to an order, refund, product issue, or account help.",True,baseline,v1,,
t094,"Are you guys not offering a student discount? I searched everywhere at checkout, and it seems to be missing.",other,other,"The ticket is a general question about discounts, not related to an order, refund, product issue, or account help.",True,baseline,v1,,
t095,Why is there no student discount option when I'm checking out? I really thought I could use one!,other,other,"The inquiry is about a discount option, which does not fit into the specified categories.",True,baseline,v1,,
t096,When's your next sale? My birthday is coming up and I'd love to splurge.,other,other,"The customer is asking about future sales, which does not fit into the specified categories.",True,baseline,v1,,
t097,Can you please tell me when your next sale is? I'm really looking to treat myself since my birthday is coming up soon!,other,other,"The customer is asking about future sales, which does not fit into any of the specified categories.",True,baseline,v1,,
t098,I'm wondering if you have any sales on the horizon. I want to indulge a bit for my upcoming birthday!,other,other,"The customer is inquiring about future sales, which does not fit into the specified categories.",True,baseline,v1,,
t099,"Do you have any idea when the next sale will be? My birthday's around the corner, and I want to go all out!",other,other,"The customer is asking about future sales, which does not fit into the specified categories.",True,baseline,v1,,
