id,ticket_text,true_category,predicted_category,reasoning,correct,otel_run_name,otel_prompt_version,validator_comment,failure_category
t018,I can't believe the tracking link in your email hasn't worked at all. It's just a never-ending spin! My order number is 88421.,order_status,order_status,"The customer is experiencing issues with tracking their order, indicating a problem with order status.",True,focused_routing_policy_v2,v2,,
t019,Why is the tracking link in your email just spinning and not showing anything? Order number is 88421. This is really frustrating!,order_status,order_status,"The customer is experiencing an issue with tracking their order, indicating a problem with order status.",True,focused_routing_policy_v2,v2,,
t020,I'd like to return the headphones I bought last week and get my money back. They're unopened.,refund_request,refund_request,The primary issue is the request for a refund for the unopened headphones.,True,focused_routing_policy_v2,v2,,
t021,I want to send back the headphones I ordered last week and receive a refund. They haven't been opened at all.,refund_request,refund_request,The primary issue is the request for a refund for the unopened headphones.,True,focused_routing_policy_v2,v2,,
t022,Could you please assist me in returning the unopened headphones I purchased last week? I would like a full refund for them.,refund_request,refund_request,The primary issue is the request for a refund for the unopened headphones.,True,focused_routing_policy_v2,v2,,
t023,"I'm looking to return the headphones I got last week. They’re still in the box and I want my money back, please.",refund_request,refund_request,"The primary issue is the request for a refund for the headphones, not a problem with the product itself.",True,focused_routing_policy_v2,v2,,
t024,Where is my refund? I returned the item two weeks ago and still nothing on my card.,refund_request,refund_request,The primary issue is about the status of the refund after returning an item.,True,focused_routing_policy_v2,v2,,
t025,"I'm really frustrated that my refund is still missing. I sent back the blender you guys sent me two weeks ago, and I haven't seen a credit on my card yet.",refund_request,refund_request,The primary issue is about the missing refund for a returned item.,True,focused_routing_policy_v2,v2,,
t026,"Hello, I hope you can assist me. It's been two weeks since I returned the shoes, and I still don't see the refund on my account. Could you please check on that for me?",refund_request,refund_request,The primary issue is about checking the status of a refund after returning an item.,True,focused_routing_policy_v2,v2,,
t027,"What’s going on with my refund? I shipped back the jacket over two weeks ago, and my card is still empty. This is getting annoying.",refund_request,refund_request,The primary issue is about the status of the refund after returning an item.,True,focused_routing_policy_v2,v2,,
t028,Please cancel order 99021 and refund my card. I no longer need it.,refund_request,refund_request,The primary issue is the request for a refund after canceling the order.,True,focused_routing_policy_v2,v2,,
t029,I want to cancel my order 99021 and get my money back on my card. This is no longer necessary for me.,refund_request,refund_request,The primary issue is the request for a refund after wanting to cancel the order.,True,focused_routing_policy_v2,v2,,
t030,Could you please process a cancellation for order 99021 and refund my card? I've changed my mind about the purchase.,refund_request,refund_request,The primary issue is the request for a refund due to a change of mind about the purchase.,True,focused_routing_policy_v2,v2,,
t031,I'd like to cancel my order 99021 and have the funds returned to my card as I don't need it anymore.,refund_request,refund_request,The primary issue is the request to cancel the order and return the funds.,True,focused_routing_policy_v2,v2,,
t032,I was charged $89 but the website showed $79 at checkout. Please refund the difference.,refund_request,refund_request,The primary issue is about the refund of the charged amount due to a discrepancy in pricing.,True,focused_routing_policy_v2,v2,,
t033,"I can't believe I was charged $89 when the site clearly said $79 during checkout! This is unacceptable — I need a refund for the difference, ASAP!",refund_request,refund_request,The primary issue is about being charged incorrectly and requesting a refund for the difference.,True,focused_routing_policy_v2,v2,,
t034,"Hello, I noticed that my order was charged $89, yet I only saw a price of $79 at checkout. Could you please process a refund for the discrepancy? Thank you!",refund_request,refund_request,The primary issue is about a pricing discrepancy and requesting a refund for the overcharge.,True,focused_routing_policy_v2,v2,,
t035,"Hey, what gives? My order total was $89 but the checkout showed $79. Can I get the $10 difference refunded, please?",refund_request,refund_request,"The primary issue is about the refund of the incorrect charge, not about the order status or product issues.",True,focused_routing_policy_v2,v2,,
t036,Returning these for store credit is fine but honestly I'd prefer cash back to my original card.,refund_request,refund_request,The primary issue is about preferring a cash refund instead of store credit.,True,focused_routing_policy_v2,v2,,
t037,"I just want to return these items for store credit, but if it's possible, I would much rather have the money refunded back to my card instead.",refund_request,refund_request,The primary issue is about the refund process for returning items.,True,focused_routing_policy_v2,v2,,
t038,"I’m okay with returning these for store credit, but let's be real, I would strongly prefer a refund to my original payment method.",refund_request,refund_request,The primary issue is the customer's preference for a refund to their original payment method.,True,focused_routing_policy_v2,v2,,
t039,"Sure, I can return these for store credit, but honestly, I'd really like to just get my money back on the card I used to pay.",refund_request,refund_request,The primary issue is about getting a refund back to the card used for payment.,True,focused_routing_policy_v2,v2,,
t040,The coffee maker arrived with a cracked carafe. Really disappointed.,product_issue,product_issue,"The item arrived damaged, which is the primary issue.",True,focused_routing_policy_v2,v2,,
t041,I can't believe my coffee maker got here with a shattered carafe. This is so disappointing!,product_issue,product_issue,"The item arrived broken, which is a product issue.",True,focused_routing_policy_v2,v2,,
t042,"I received my coffee maker today, but unfortunately, the carafe is cracked. I'm really not happy about this.",product_issue,product_issue,"The item arrived damaged, specifically the carafe is cracked.",True,focused_routing_policy_v2,v2,,
t043,"So, my order of a coffee maker (Order #12345) arrived, but guess what? The carafe is broken. What a letdown!",product_issue,product_issue,"The item arrived broken, which is a product issue.",True,focused_routing_policy_v2,v2,,
t044,"My laptop arrived damaged and I want a full refund, not a replacement.",product_issue,product_issue,The underlying problem is that the laptop arrived damaged.,True,focused_routing_policy_v2,v2,,
t045,"I received my laptop in a damaged condition and I expect a complete refund, not a replacement.",product_issue,product_issue,"The laptop arrived damaged, which is the primary issue.",True,focused_routing_policy_v2,v2,,
t046,"I'm really unhappy because my laptop showed up broken, and I just want my money back instead of getting a new one.",product_issue,product_issue,"The laptop arrived broken, which is the underlying problem.",True,focused_routing_policy_v2,v2,,
t047,The laptop I ordered came in with damage and I'd prefer a full refund rather than a replacement.,product_issue,product_issue,"The item arrived damaged, which is the primary issue.",True,focused_routing_policy_v2,v2,,
t048,You sent me a size medium shirt but I ordered a large. Second time this has happened.,product_issue,product_issue,"The item arrived wrong, as the customer received a medium shirt instead of the large they ordered.",True,focused_routing_policy_v2,v2,,
t049,"I can't believe this happened again! I ordered a large shirt, but you sent me a medium. This is the second time I've faced this issue!",product_issue,product_issue,"The item arrived wrong, as the customer received a medium shirt instead of a large.",True,focused_routing_policy_v2,v2,,
t050,"I appreciate your help, but I received a medium shirt instead of the large I ordered. This is the second occurrence of this problem, and it's getting quite frustrating.",product_issue,product_issue,"The customer received the wrong item, which indicates a product issue.",True,focused_routing_policy_v2,v2,,
t051,"Look, this is getting ridiculous. I ordered a large shirt, and once again you sent me a medium. Can we please get it right this time?",product_issue,product_issue,"The item arrived wrong, as the customer received a medium shirt instead of a large.",True,focused_routing_policy_v2,v2,,
t052,The product description said 'wireless' but I had to buy a separate dongle to use it. Misleading.,product_issue,other,"The issue is about misleading product information rather than a specific order, refund, or product defect.",False,focused_routing_policy_v2,v2,,
t053,I'm really annoyed that the description claimed it was 'wireless' when I ended up having to get a separate dongle to use it. That feels pretty misleading.,product_issue,product_issue,"The item was not as described, as it was advertised as 'wireless' but required a separate dongle.",True,focused_routing_policy_v2,v2,,
t054,"Could you please clarify why the product is labeled as 'wireless'? I ended up needing to purchase a dongle separately, which seems misleading. Thank you.",product_issue,other,"The customer is asking for clarification about product labeling, which does not fit into the other specified categories.",False,focused_routing_policy_v2,v2,,
t055,"I ordered item #45782, expecting it to be truly 'wireless' as described, but I had to buy an extra dongle to make it work. This is incredibly misleading!",product_issue,product_issue,The item did not match the description and required additional equipment to function.,True,focused_routing_policy_v2,v2,,
t056,Item itself works fine but the box was crushed and the instruction manual is missing.,product_issue,product_issue,"The item arrived with a crushed box and missing manual, indicating a product issue.",True,focused_routing_policy_v2,v2,,
t057,"The product is functioning without issues, but the packaging arrived damaged and I'm missing the instruction manual.",product_issue,product_issue,"The packaging was damaged and the customer is missing the instruction manual, indicating a product issue.",True,focused_routing_policy_v2,v2,,
t058,"While the item operates perfectly well, I received it in a crushed box and there's no manual included.",product_issue,product_issue,"The item arrived in a crushed box and is missing a manual, indicating a product issue.",True,focused_routing_policy_v2,v2,,
t059,"The item works great, but seriously, the box was smashed and I can't find the instructions anywhere. What gives?",product_issue,product_issue,"The item arrived in a damaged box and missing instructions, indicating a product issue.",True,focused_routing_policy_v2,v2,,
t060,I can't log into my account — it keeps saying my password is wrong even after I reset it.,account_help,account_help,The customer is experiencing issues with logging into their account due to a password problem.,True,focused_routing_policy_v2,v2,,
t061,"I'm really frustrated right now — I can't seem to access my account! Every time I try to log in, it tells me my password is incorrect, even though I just reset it. What is going on?",account_help,account_help,The customer is experiencing issues logging into their account due to a password problem.,True,focused_routing_policy_v2,v2,,
t062,"I've been trying to log into my account, but it keeps rejecting my password as wrong, even though I've reset it. Can someone please help me? My patience is wearing thin!",account_help,account_help,The customer is experiencing issues logging into their account due to a password problem.,True,focused_routing_policy_v2,v2,,
t063,"I don't know what's going on, but I can't log into my account, and it keeps telling me my password is invalid, even after I reset it. This is getting ridiculous!",account_help,account_help,The customer is experiencing issues with logging into their account due to an invalid password.,True,focused_routing_policy_v2,v2,,
t064,How do I update the credit card on file? I don't see the option anywhere in settings.,account_help,account_help,The customer is asking for assistance with updating their payment method.,True,focused_routing_policy_v2,v2,,
t065,I'm really frustrated that I can't find where to update my credit card information. It's not showing up in settings at all! Can someone help me out?,account_help,account_help,"The customer is seeking assistance with updating their credit card information, which relates to account management.",True,focused_routing_policy_v2,v2,,
t066,"Hello, I'm trying to update the credit card linked to my account, but I can't find any option for that in the settings. Could you please guide me? Thank you!",account_help,account_help,The customer is seeking assistance with updating their payment method in their account settings.,True,focused_routing_policy_v2,v2,,
t067,I can't seem to locate where to change my credit card details on your site. Is it hidden somewhere in the settings? This is quite annoying!,account_help,account_help,"The customer is asking for help with changing their credit card details, which relates to account management.",True,focused_routing_policy_v2,v2,,
t068,The website won't let me check out — it keeps logging me out mid-payment.,account_help,account_help,The issue is related to login problems during the checkout process.,True,focused_routing_policy_v2,v2,,
t069,"I'm really annoyed that I can't complete my order. Every time I try to check out, the site logs me out right when I'm about to pay!",account_help,account_help,The customer is experiencing issues with logging in while trying to complete their order.,True,focused_routing_policy_v2,v2,,
t070,"Hello, I’m having an issue with your website. It keeps logging me out when I attempt to make a payment, preventing me from checking out. Could you please assist?",account_help,account_help,The issue is related to logging in and making a payment on the website.,True,focused_routing_policy_v2,v2,,
t071,"This is ridiculous! I’m trying to buy a pair of shoes (Order #4567) but every time I reach the payment screen, the website signs me out. What’s going on?",account_help,account_help,The customer is experiencing issues with logging in and completing a purchase.,True,focused_routing_policy_v2,v2,,
t072,Please remove my old shipping address. I moved last month and don't want stuff going there.,account_help,account_help,The customer is requesting assistance with updating their shipping address.,True,focused_routing_policy_v2,v2,,
t073,"Hi there, I need to have my previous shipping address deleted from my account. I relocated last month, and I don't want any packages sent to that old place. Thanks!",account_help,account_help,The customer is requesting assistance with updating their account information.,True,focused_routing_policy_v2,v2,,
t074,"Can you please take off my old shipping address? I just moved recently, and I'm worried about my orders going to the wrong location.",account_help,account_help,The customer is asking for help with updating their shipping address.,True,focused_routing_policy_v2,v2,,
t075,"Hey, I've changed my address last month, and I really need you to get rid of my old shipping info so my packages don't get sent there. It's a bit urgent, so please handle it!",account_help,account_help,The customer is requesting assistance with changing their shipping address.,True,focused_routing_policy_v2,v2,,
t076,I keep getting 2FA codes I didn't request. Is someone trying to access my account?,account_help,account_help,"The customer is concerned about unauthorized access to their account, which relates to account security.",True,focused_routing_policy_v2,v2,,
t077,"I'm receiving 2FA codes that I never asked for. Is someone trying to break into my account, or what? This is really concerning!",account_help,account_help,The customer is concerned about unauthorized access to their account due to receiving unexpected 2FA codes.,True,focused_routing_policy_v2,v2,,
t078,I keep receiving unsolicited 2FA codes. Is there a chance someone is attempting to access my account? I'm quite worried about this situation.,account_help,account_help,The customer is concerned about account security and unauthorized access.,True,focused_routing_policy_v2,v2,,
t079,Can you explain why I'm getting 2FA codes that I didn't ask for? Is my account being targeted by someone? This is frustrating!,account_help,account_help,The customer is inquiring about unexpected 2FA codes related to their account security.,True,focused_routing_policy_v2,v2,,
t080,Do you guys ship to Canada? Couldn't find it on the FAQ page.,other,other,"The customer is asking a general question about shipping to Canada, which does not fit into the other categories.",True,focused_routing_policy_v2,v2,,
t081,"Hey, do you even ship to Canada? I looked everywhere on the FAQ page but couldn't find that info.",other,other,The customer is asking a general question about shipping policies.,True,focused_routing_policy_v2,v2,,
t082,"Excuse me, but can you tell me if you offer shipping to Canada? I checked the FAQ section and found nothing about it.",other,other,"The customer is asking a general question about shipping policies, which does not fit into the other categories.",True,focused_routing_policy_v2,v2,,
t083,"I'm wondering if you ship to Canada? It's not mentioned anywhere on your FAQ page, which is a bit frustrating.",other,other,The customer is asking a general question about shipping policies.,True,focused_routing_policy_v2,v2,,
t084,Just wanted to say the customer service rep I spoke to yesterday was amazing. Thank you!,other,other,The ticket is a general feedback message and does not fit any specific support issue.,True,focused_routing_policy_v2,v2,,
t085,I have to give a shout out to the customer service agent I talked to yesterday. They were fantastic! Thanks a ton!,other,other,The ticket is a general feedback message and does not pertain to any specific support issue.,True,focused_routing_policy_v2,v2,,
t086,Kudos to the customer support representative I chatted with yesterday—absolutely wonderful service. Much appreciated!,other,other,The ticket is a general feedback message and does not fit any specific support issue.,True,focused_routing_policy_v2,v2,,
t087,"I just had to mention that the support rep I spoke to yesterday was incredible. Great job, thank you!",other,other,"The customer is providing feedback about a support interaction, which does not fit into the other categories.",True,focused_routing_policy_v2,v2,,
t088,Is the red version of SKU-1140 back in stock?,other,other,"The customer is inquiring about product availability, which does not fit into the specified categories.",True,focused_routing_policy_v2,v2,,
t089,"Hey, any chance the red variant of SKU-1140 is available again? It's been ages since I've checked.",other,other,"The customer is inquiring about product availability, which does not fit any of the specified categories.",True,focused_routing_policy_v2,v2,,
t090,Could you please let me know if the red SKU-1140 is back in stock? I’ve been waiting for it!,other,other,"The customer is inquiring about product availability, which does not fit into the specified categories.",True,focused_routing_policy_v2,v2,,
t091,I'm just wondering if the red color for SKU-1140 is in stock yet. It feels like it's been forever.,other,other,"The customer is inquiring about product availability, which does not fit into the specified categories.",True,focused_routing_policy_v2,v2,,
t092,Do you offer a student discount? Couldn't find one at checkout.,other,other,"The customer is asking a general question about discounts, which does not fit into the specified categories.",True,focused_routing_policy_v2,v2,,
t093,I couldn't locate a student discount during checkout. Is there one available?,other,other,"The customer is inquiring about a discount, which does not fit into the specified categories.",True,focused_routing_policy_v2,v2,,
t094,"Are you guys not offering a student discount? I searched everywhere at checkout, and it seems to be missing.",other,other,"The customer is inquiring about a discount policy, which does not fit into the specified categories.",True,focused_routing_policy_v2,v2,,
t095,Why is there no student discount option when I'm checking out? I really thought I could use one!,other,other,"The customer is inquiring about a discount option, which does not fit into the specified categories.",True,focused_routing_policy_v2,v2,,
t096,When's your next sale? My birthday is coming up and I'd love to splurge.,other,other,"The customer is inquiring about future sales, which does not fit any of the specified categories.",True,focused_routing_policy_v2,v2,,
t097,Can you please tell me when your next sale is? I'm really looking to treat myself since my birthday is coming up soon!,other,other,"The customer is asking about upcoming sales, which does not fit any of the specified categories.",True,focused_routing_policy_v2,v2,,
t098,I'm wondering if you have any sales on the horizon. I want to indulge a bit for my upcoming birthday!,other,other,"The customer is inquiring about future sales, which does not fit any of the specified categories.",True,focused_routing_policy_v2,v2,,
t099,"Do you have any idea when the next sale will be? My birthday's around the corner, and I want to go all out!",other,other,"The customer is asking about future sales, which does not fit any of the specified categories.",True,focused_routing_policy_v2,v2,,
