id,ticket_text,true_category,predicted_category_controlled_v1,reasoning_controlled_v1,correct_controlled_v1,allowed_controlled_v1,missing_exact_match_feedback_controlled_v1,missing_allowed_feedback_controlled_v1,status_controlled_v1,error_controlled_v1,latency_controlled_v1,tokens_controlled_v1,cost_controlled_v1,experiment_controlled_v1,predicted_category_focused_v2,reasoning_focused_v2,correct_focused_v2,allowed_focused_v2,missing_exact_match_feedback_focused_v2,missing_allowed_feedback_focused_v2,status_focused_v2,error_focused_v2,latency_focused_v2,tokens_focused_v2,cost_focused_v2,experiment_focused_v2,source_row,supplied_baseline_prediction,supplied_baseline_reasoning,supplied_baseline_result,supplied_correct,controlled_matches_supplied_prediction,prediction_changed_v1_to_v2,outcome,failure_group_from_supplied_workbook
t010,My order is marked delivered as of last Tuesday but it's nowhere to be found. Help.,order_status,order_status,The customer is inquiring about the status of their order and its delivery.,1,1,0,0,success,,0.544014,235.0,4.65e-05,cs-routing-official150-baseline-v1-20606161,order_status,The customer is inquiring about the status of their order and its delivery.,1,1,0,0,success,,0.734369,301.0,5.64e-05,cs-routing-official150-focused-v2-61199498,25,order_status,Customer says the delivery marker doesn't match reality.,Pass,1,1,0,stable_pass,
t011,"Says delivered Tuesday — checked the porch, the neighbors, the mailroom. Nothing. What do I do?",order_status,order_status,The customer is inquiring about the status of their order and its delivery.,1,1,0,0,success,,0.619844,240.0,4.725e-05,cs-routing-official150-baseline-v1-20606161,order_status,The customer is inquiring about the status of their order and where it might be.,1,1,0,0,success,,0.548727,308.0,5.835e-05,cs-routing-official150-focused-v2-61199498,26,order_status,Customer needs help locating a package that the carrier claims was delivered.,Pass,1,1,0,stable_pass,
t012,I never received my order and I want my money back.,refund_request,refund_request,The customer is requesting a refund because they did not receive their order.,1,1,0,0,success,,0.629719,228.0,4.5e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer explicitly requests their money back.,1,1,0,0,success,,0.635539,288.0,5.13e-05,cs-routing-official150-focused-v2-61199498,27,order_status,"Customer is asking for their money back, which suggests a refund request.",Fail,0,0,0,stable_pass,Refund_Intent_Underrouted
t013,I haven't received my order yet — please refund me.,refund_request,refund_request,The customer is requesting a refund due to not receiving their order.,1,1,0,0,success,,0.777154,226.0,4.425e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer explicitly requests a refund for their order.,1,1,0,0,success,,0.536298,289.0,5.235e-05,cs-routing-official150-focused-v2-61199498,28,order_status,Customer explicitly requesting a refund.,Fail,0,0,0,stable_pass,Refund_Intent_Underrouted
t014,Still no package. I want a refund.,refund_request,refund_request,The customer is requesting a refund due to not receiving their package.,1,1,1,1,success,,0.573227,224.0,4.395e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer explicitly requests a refund.,1,1,0,0,success,,0.57675,284.0,5.025e-05,cs-routing-official150-focused-v2-61199498,29,order_status,Customer wants their money back — sounds like a refund request.,Fail,0,0,0,stable_pass,Refund_Intent_Underrouted
t015,Order shows delivered but I never got it. Refund please.,refund_request,refund_request,The customer is requesting a refund for an order that was marked as delivered but not received.,1,1,0,0,success,,0.604774,232.0,4.74e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer explicitly requests a refund for an order that shows delivered but was not received.,1,1,0,0,success,,0.59596,297.0,5.67e-05,cs-routing-official150-focused-v2-61199498,30,order_status,Customer is requesting a refund for a missing package.,Fail,0,0,0,stable_pass,Refund_Intent_Underrouted
t016,Package says delivered but I don't have it. I'd like a refund.,refund_request,refund_request,The customer is requesting a refund due to not receiving their package.,1,1,0,0,success,,0.648178,229.0,4.47e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer explicitly requests a refund due to not receiving the package.,1,1,0,0,success,,0.578379,295.0,5.46e-05,cs-routing-official150-focused-v2-61199498,31,order_status,Customer is requesting their money back for a missing order.,Fail,0,0,0,stable_pass,Refund_Intent_Underrouted
t017,"Marked as delivered, I never got it. Just refund me at this point.",refund_request,refund_request,The customer is requesting a refund due to not receiving their order.,1,1,0,0,success,,0.592469,231.0,4.5e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer explicitly requests a refund.,1,1,1,1,success,,0.537751,291.0,5.13e-05,cs-routing-official150-focused-v2-61199498,32,order_status,Customer wants a refund — money-back request.,Fail,0,0,0,stable_pass,Refund_Intent_Underrouted
t018,The website said 2-day shipping. It's been 9 days. Are you kidding me?,order_status,order_status,The customer is inquiring about the status of their order and the delay in shipping.,1,1,0,0,success,,0.653055,238.0,4.785e-05,cs-routing-official150-baseline-v1-20606161,order_status,The customer is inquiring about the delay in shipping and delivery status.,1,1,0,0,success,,0.624384,301.0,5.595e-05,cs-routing-official150-focused-v2-61199498,33,order_status,Customer is complaining about a delayed shipment — order_status concern.,Pass,1,1,0,stable_pass,
t019,Promised 2-day delivery. Day nine. This is a joke.,order_status,order_status,The customer is inquiring about the status of their order and its delayed delivery.,1,1,0,0,success,,0.607443,233.0,4.665e-05,cs-routing-official150-baseline-v1-20606161,order_status,The customer is inquiring about the delivery status of their order.,1,1,0,0,success,,0.687157,296.0,5.475e-05,cs-routing-official150-focused-v2-61199498,34,order_status,Customer is upset about delivery delays.,Pass,1,1,0,stable_pass,
t020,You advertised 2-day shipping. Where is my order? It's been more than a week.,order_status,order_status,The customer is inquiring about the status of their order and its delivery time.,1,1,0,0,success,,1.063921,237.0,4.725e-05,cs-routing-official150-baseline-v1-20606161,order_status,The customer is inquiring about the status of their order and its delivery time.,1,1,1,1,success,,0.580857,303.0,5.715e-05,cs-routing-official150-focused-v2-61199498,35,order_status,Customer is questioning the status of a delayed shipment.,Pass,1,1,0,stable_pass,
t021,My item has been stuck in customs for 3 weeks. What can you do?,order_status,order_status,The customer is inquiring about the status of their order stuck in customs.,1,1,0,0,success,,0.58385,234.0,4.635e-05,cs-routing-official150-baseline-v1-20606161,order_status,The customer is inquiring about the status of their order stuck in customs.,1,1,0,0,success,,0.763187,300.0,5.625e-05,cs-routing-official150-focused-v2-61199498,36,order_status,Customer is asking about delivery status — item stuck in customs.,Pass,1,1,0,stable_pass,
t022,Customs has been holding my order for three weeks. Any way to speed this up?,order_status,order_status,The customer is inquiring about the status of their order and how to expedite the process.,1,1,1,1,success,,0.566606,238.0,4.83e-05,cs-routing-official150-baseline-v1-20606161,order_status,The customer is inquiring about the status of their order and how to expedite the process.,1,1,0,0,success,,0.735388,304.0,5.82e-05,cs-routing-official150-focused-v2-61199498,37,order_status,Customer wants help with a stalled international shipment.,Pass,1,1,0,stable_pass,
t023,It's been 21 days in customs. I need an update on when this will arrive.,order_status,order_status,The customer is inquiring about the status and delivery ETA of their order.,1,1,0,0,success,,0.653174,235.0,4.65e-05,cs-routing-official150-baseline-v1-20606161,order_status,The customer is inquiring about the status of their order and its delivery timeline.,1,1,1,1,success,,0.654791,302.0,5.7e-05,cs-routing-official150-focused-v2-61199498,38,order_status,Customer asking for an ETA on a customs-delayed order.,Pass,1,1,0,stable_pass,
t024,The carrier marked it delivered but it shows the wrong delivery address.,order_status,order_status,The customer is inquiring about the delivery status and address of their order.,1,1,0,0,success,,0.598946,230.0,4.575e-05,cs-routing-official150-baseline-v1-20606161,order_status,The customer is inquiring about the delivery status and address issue without requesting a refund.,1,1,0,0,success,,0.721004,298.0,5.685e-05,cs-routing-official150-focused-v2-61199498,39,account_help,Customer mentions a wrong shipping address — sounds like an account/address issue.,Fail,0,0,0,stable_pass,Shipping_Context_Boundary
t025,Carrier delivered to the wrong address. The address on the label is not mine.,order_status,product_issue,"The item was delivered to the wrong address, indicating a problem with the delivery.",0,1,0,0,success,,0.65039,234.0,4.68e-05,cs-routing-official150-baseline-v1-20606161,order_status,The customer is inquiring about the delivery issue related to the wrong address.,1,1,0,0,success,,0.636521,299.0,5.61e-05,cs-routing-official150-focused-v2-61199498,40,account_help,Customer says the shipping address is incorrect — account_help concern.,Fail,0,0,1,win,Shipping_Context_Boundary
t026,Order was sent to an address I don't recognize and now it's gone. What happened?,order_status,order_status,The customer is inquiring about the status of their order and its delivery to an incorrect address.,1,1,0,0,success,,0.631505,238.0,4.875e-05,cs-routing-official150-baseline-v1-20606161,order_status,The customer is inquiring about the status of their order and its delivery to an unrecognized address.,1,1,0,0,success,,0.73032,305.0,5.925e-05,cs-routing-official150-focused-v2-61199498,41,order_status,Customer is trying to locate a package sent to a wrong address.,Pass,1,1,0,stable_pass,
t027,Where exactly is order #50221? I need it for my wedding tomorrow.,order_status,order_status,The customer is inquiring about the location and status of their order.,1,1,0,0,success,,0.667174,232.0,4.56e-05,cs-routing-official150-baseline-v1-20606161,order_status,"The customer is inquiring about the location of their order, which is a question about order status.",1,1,0,0,success,,4.783108,304.0,5.91e-05,cs-routing-official150-focused-v2-61199498,42,order_status,Customer needs an urgent delivery update — order_status.,Pass,1,1,0,stable_pass,
t028,Order #50221 is for my wedding tomorrow. Where is it??,order_status,order_status,The customer is inquiring about the status and location of their order.,1,1,0,0,success,,0.553929,230.0,4.53e-05,cs-routing-official150-baseline-v1-20606161,order_status,The customer is inquiring about the status and delivery of their order.,1,1,0,0,success,,0.614999,296.0,5.52e-05,cs-routing-official150-focused-v2-61199498,43,order_status,Customer needs an urgent ETA on a specific order.,Pass,1,1,0,stable_pass,
t029,Wedding is tomorrow and order 50221 still hasn't arrived. Please help.,order_status,order_status,The customer is inquiring about the status of their order and its delivery.,1,1,0,0,success,,0.608614,232.0,4.605e-05,cs-routing-official150-baseline-v1-20606161,order_status,The customer is inquiring about the status of their order that has not yet arrived.,1,1,0,0,success,,0.680098,300.0,5.715e-05,cs-routing-official150-focused-v2-61199498,44,order_status,Time-sensitive delivery inquiry — order_status.,Pass,1,1,0,stable_pass,
t030,I'd like to return the headphones I bought last week and get my money back. They're unopened.,refund_request,refund_request,The customer wants to return an item and get their money back.,1,1,1,1,success,,0.669035,234.0,4.545e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer explicitly requests a refund for the unopened headphones.,1,1,0,0,success,,0.557275,298.0,5.415e-05,cs-routing-official150-focused-v2-61199498,45,refund_request,Customer wants to return an unopened item for a refund — refund_request.,Pass,1,1,0,stable_pass,
t031,Need to return these unopened headphones — refund please.,refund_request,refund_request,The customer is requesting a refund for unopened headphones.,1,1,0,0,success,,0.666711,222.0,4.23e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer explicitly requests a refund for the unopened headphones.,1,1,0,0,success,,0.591949,289.0,5.28e-05,cs-routing-official150-focused-v2-61199498,46,refund_request,Customer wants a refund for an unopened product.,Pass,1,1,0,stable_pass,
t032,"Hey, the headphones I bought last week are still sealed — can I return them for my money back?",refund_request,refund_request,The customer is asking to return an item for a refund.,1,1,0,0,success,,0.688244,235.0,4.515e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer explicitly requests to return the headphones for their money back.,1,1,0,0,success,,0.629091,302.0,5.565e-05,cs-routing-official150-focused-v2-61199498,47,refund_request,Customer requesting a refund on an unopened return.,Pass,1,1,0,stable_pass,
t033,Please cancel order 99021 and refund my card. I no longer need it.,refund_request,refund_request,The customer is requesting a refund for their order.,1,1,0,0,success,,0.603671,229.0,4.335e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer explicitly requests a refund for the cancellation of their order.,1,1,1,1,success,,0.712616,298.0,5.505e-05,cs-routing-official150-focused-v2-61199498,48,refund_request,Customer asking to cancel and get a refund — refund_request.,Pass,1,1,0,stable_pass,
t034,Cancel order 99021 and refund the charge — I changed my mind.,refund_request,refund_request,The customer is requesting a refund for their order.,1,1,1,1,success,,0.57764,227.0,4.305e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer explicitly requests a refund for the cancellation of their order.,1,1,0,0,success,,0.617787,296.0,5.475e-05,cs-routing-official150-focused-v2-61199498,49,refund_request,Customer requesting cancellation and refund.,Pass,1,1,0,stable_pass,
t035,Please void order 99021 and put the money back on my card.,refund_request,refund_request,The customer is requesting to void an order and get their money back.,1,1,1,1,success,,0.626664,231.0,4.545e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer explicitly requests a refund by asking to void the order and return the money.,1,1,0,0,success,,1.14042,300.0,5.715e-05,cs-routing-official150-focused-v2-61199498,50,refund_request,Customer wants the order voided and refunded.,Pass,1,1,0,stable_pass,
t036,Where is my refund? I returned the item two weeks ago and still nothing on my card.,refund_request,refund_request,The customer is inquiring about the status of their refund.,1,1,0,0,success,,0.575884,233.0,4.485e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer is explicitly asking about their refund status.,1,1,0,0,success,,0.788525,297.0,5.355e-05,cs-routing-official150-focused-v2-61199498,51,refund_request,Customer is following up on a refund they're owed — refund_request.,Pass,1,1,0,stable_pass,
t037,"Returned the item two weeks ago, no refund yet — where is it?",refund_request,refund_request,The customer is inquiring about a refund for a returned item.,1,1,0,0,success,,0.56688,230.0,4.485e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer is inquiring about a refund for an item they returned.,1,1,0,0,success,,0.693109,297.0,5.535e-05,cs-routing-official150-focused-v2-61199498,52,refund_request,Customer is asking about the status of their refund.,Pass,1,1,0,stable_pass,
t038,I sent the product back 14 days ago. My card still hasn't been credited. What's the holdup?,refund_request,refund_request,The customer is inquiring about a refund for a returned product.,1,1,0,0,success,,0.59977,237.0,4.59e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer is inquiring about a refund for a product they returned.,1,1,0,0,success,,0.818029,304.0,5.64e-05,cs-routing-official150-focused-v2-61199498,53,refund_request,Customer is following up on an outstanding refund.,Pass,1,1,0,stable_pass,
t039,I was charged $89 but the website showed $79 at checkout. Please refund the difference.,refund_request,refund_request,The customer is requesting a refund for the difference in price charged.,1,1,0,0,success,,0.659652,234.0,4.545e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer explicitly requests a refund for the difference in price.,1,1,0,0,success,,0.646243,299.0,5.475e-05,cs-routing-official150-focused-v2-61199498,54,refund_request,Customer wants a partial refund for an overcharge — refund_request.,Pass,1,1,0,stable_pass,
t040,"Charged $89, but the site listed $79. Please refund the $10 difference.",refund_request,refund_request,The customer is requesting a refund for a discrepancy in the charged amount.,1,1,0,0,success,,0.552265,235.0,4.605e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer explicitly requests a refund for the $10 difference.,1,1,0,0,success,,0.964713,299.0,5.475e-05,cs-routing-official150-focused-v2-61199498,55,refund_request,Customer is asking for a refund on the price discrepancy.,Pass,1,1,0,stable_pass,
t041,You overcharged me by $10. Please credit the difference back to my card.,refund_request,refund_request,"The customer is requesting a credit for an overcharge, which falls under refund requests.",1,1,0,0,success,,0.605305,236.0,4.755e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer is explicitly requesting a credit back for an overcharge.,1,1,0,0,success,,1.160274,298.0,5.505e-05,cs-routing-official150-focused-v2-61199498,56,refund_request,Customer requesting a refund for an overcharge.,Pass,1,1,0,stable_pass,
t042,Returning these for store credit is fine but honestly I'd prefer cash back to my original card.,refund_request,refund_request,The customer is requesting a refund to their original card.,1,1,0,0,success,,0.529369,231.0,4.41e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer explicitly requests cash back to their original card.,1,1,1,1,success,,0.573977,297.0,5.4e-05,cs-routing-official150-focused-v2-61199498,57,refund_request,Customer is requesting a refund to their original card instead of store credit.,Pass,1,1,0,stable_pass,
t043,"Returning these — and please refund to my card, not store credit.",refund_request,refund_request,The customer is requesting a refund to their card.,1,1,0,0,success,,0.504038,226.0,4.29e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer explicitly requests a refund to their card.,1,1,0,0,success,,0.770061,292.0,5.28e-05,cs-routing-official150-focused-v2-61199498,58,refund_request,Customer wants a cash refund rather than store credit.,Pass,1,1,0,stable_pass,
t044,Happy to return these but I'd rather get a real refund than store credit.,refund_request,refund_request,The customer is requesting a refund instead of store credit.,1,1,0,0,success,,0.565871,228.0,4.365e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer explicitly requests a refund instead of store credit.,1,1,0,0,success,,0.545862,294.0,5.355e-05,cs-routing-official150-focused-v2-61199498,59,refund_request,Customer is asking for a card refund instead of store credit.,Pass,1,1,0,stable_pass,
t045,I was double-charged on the same order. Please refund the duplicate transaction.,refund_request,refund_request,The customer is requesting a refund for a duplicate charge.,1,1,0,0,success,,2.1438,230.0,4.395e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer explicitly requests a refund for a duplicate transaction.,1,1,0,0,success,,0.732535,296.0,5.385e-05,cs-routing-official150-focused-v2-61199498,60,refund_request,Customer was charged twice — wants a refund for the duplicate.,Pass,1,1,0,stable_pass,
t046,There are two charges on my card for the same order. Please refund one.,refund_request,refund_request,The customer is requesting a refund for one of the duplicate charges.,1,1,0,0,success,,0.707234,231.0,4.5e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer explicitly requests a refund for one of the charges.,1,1,0,0,success,,0.57892,296.0,5.43e-05,cs-routing-official150-focused-v2-61199498,61,refund_request,Customer needs a duplicate-charge refund.,Pass,1,1,0,stable_pass,
t047,Card was hit twice for one order — please reverse the duplicate.,refund_request,refund_request,"The customer is requesting a reversal of a duplicate charge, which falls under refund requests.",1,1,0,0,success,,5.297811,232.0,4.695e-05,cs-routing-official150-baseline-v1-20606161,refund_request,"The customer is requesting a reversal of a duplicate charge, which implies a request for a refund.",1,1,0,0,success,,0.918173,300.0,5.805e-05,cs-routing-official150-focused-v2-61199498,62,refund_request,Customer wants the duplicate charge refunded.,Pass,1,1,0,stable_pass,
t048,The price dropped two days after I bought it. Can I get the difference back?,refund_request,refund_request,The customer is asking for a refund of the price difference after a price drop.,1,1,0,0,success,,0.620341,235.0,4.695e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer is explicitly requesting a refund for the price difference.,1,1,0,0,success,,0.589364,297.0,5.445e-05,cs-routing-official150-focused-v2-61199498,63,other,Customer is asking about a general policy on price drops — informational.,Fail,0,0,0,stable_pass,Refund_Intent_Underrouted
t049,Saw the same item dropped in price right after I bought it. Any way to get the difference?,refund_request,refund_request,"The customer is asking for a price adjustment, which typically involves a refund of the price difference.",1,1,0,0,success,,0.709067,241.0,4.92e-05,cs-routing-official150-baseline-v1-20606161,refund_request,"The customer is requesting a price adjustment, which falls under a refund request.",1,1,0,0,success,,0.760761,303.0,5.67e-05,cs-routing-official150-focused-v2-61199498,64,other,Customer is asking about a price-match policy.,Fail,0,0,0,stable_pass,Refund_Intent_Underrouted
t050,Item went on sale right after I ordered. Do you do price adjustments?,refund_request,other,"The inquiry is about a price adjustment policy, which does not fit into the specified categories.",0,1,0,0,success,,0.649387,234.0,4.725e-05,cs-routing-official150-baseline-v1-20606161,other,"The customer is inquiring about price adjustments, which does not fit the specified categories.",0,1,0,0,success,,0.558699,299.0,5.655e-05,cs-routing-official150-focused-v2-61199498,65,other,Customer is asking about a general price-adjustment policy.,Fail,0,1,0,remaining_failure,Refund_Intent_Underrouted
t051,Cancel my subscription and refund this month's charge — I never used it.,refund_request,refund_request,The customer is requesting a refund for a charge related to their subscription.,1,1,0,0,success,,0.621831,230.0,4.53e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer explicitly requests a refund for the subscription charge.,1,1,1,1,success,,0.721227,293.0,5.34e-05,cs-routing-official150-focused-v2-61199498,66,account_help,Customer wants to cancel their subscription — account-level change.,Fail,0,0,0,stable_pass,Refund_Intent_Underrouted
t052,Please cancel my subscription and refund this month — I haven't used the service.,refund_request,refund_request,The customer is requesting a refund for a subscription they want to cancel.,1,1,0,0,success,,0.647996,231.0,4.545e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer explicitly requests a refund for the subscription.,1,1,0,0,success,,0.652767,293.0,5.295e-05,cs-routing-official150-focused-v2-61199498,67,account_help,Customer is asking to cancel a subscription on their account.,Fail,0,0,0,stable_pass,Refund_Intent_Underrouted
t053,"Subscription cancel + refund of this month, please. I haven't used it once.",refund_request,refund_request,The customer is requesting a refund for a subscription they have not used.,1,1,0,0,success,,0.620828,232.0,4.56e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer explicitly requests a refund for the subscription.,1,1,1,1,success,,0.59362,294.0,5.31e-05,cs-routing-official150-focused-v2-61199498,68,account_help,"Customer wants subscription cancellation, which is an account action.",Fail,0,0,0,stable_pass,Refund_Intent_Underrouted
t054,Your return window says 30 days. I missed it by 2 days. Refund anyway?,refund_request,refund_request,The customer is requesting a refund despite missing the return window.,1,1,0,0,success,,0.5398,233.0,4.485e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer is explicitly requesting a refund despite missing the return window.,1,1,0,0,success,,0.640316,300.0,5.535e-05,cs-routing-official150-focused-v2-61199498,69,refund_request,Customer is asking for a refund outside the return window.,Pass,1,1,0,stable_pass,
t055,I'm just past the 30-day return window — would you still take it back for a refund?,refund_request,refund_request,The customer is inquiring about the possibility of returning an item for a refund.,1,1,1,1,success,,0.719904,238.0,4.74e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer is explicitly asking if they can return an item for a refund.,1,1,0,0,success,,0.723739,303.0,5.67e-05,cs-routing-official150-focused-v2-61199498,70,refund_request,Customer is asking for an exception on a late refund.,Pass,1,1,0,stable_pass,
t056,Return window technically ended 2 days ago. Any chance of a refund?,refund_request,refund_request,The customer is inquiring about the possibility of a refund.,1,1,0,0,success,,0.831979,229.0,4.425e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer explicitly requests a refund.,1,1,0,0,success,,0.548829,290.0,5.115e-05,cs-routing-official150-focused-v2-61199498,71,refund_request,Customer wants a refund despite missing the return cutoff.,Pass,1,1,0,stable_pass,
t057,Disputing this charge with my bank — but I'd rather just get a refund directly from you.,refund_request,refund_request,The customer is seeking a refund directly from the company.,1,1,0,0,success,,0.648339,233.0,4.44e-05,cs-routing-official150-baseline-v1-20606161,refund_request,The customer explicitly requests a refund directly from the company.,1,1,0,0,success,,1.171282,299.0,5.43e-05,cs-routing-official150-focused-v2-61199498,72,refund_request,Customer prefers a direct refund over a chargeback dispute.,Pass,1,1,0,stable_pass,
